category,問題類別,變形問題,SQL1,SQL2,SQL3
A,在[時間]的刷卡紀錄,我在[時間]的購物中，總計花費了多少錢?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,關於[時間]那次消費行為，我總共付了?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,有關[時間]的消費支出，我一共付了多少錢?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,那次在[時間]的購物活動，我總共投入了多少金錢?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,在[時間]期間，我總共花了多少?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,在[時間]的刷卡金額,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,在[時間]期間，我總共消費掉了多少錢?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,[時間]這個時候，我一共支付了多大筆費用?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,那段[時間]的時光裡，我總計花掉了多少錢?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,我在[時間]時的總開支金額是多少?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,[時間]期間，我掏腰包的總數目是多少?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,在[時間]這段時間裡，我總共買單付帳多少?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,[時間]期間，我總計投入了多大金額用於消費?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,關於[時間]這個時候的消費情況，我總共付出了多少錢財?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,在[時間]的刷卡紀錄,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
B,在[時間][商戶]刷卡紀錄,請告訴我，在[時間]我在[商戶]的開銷是多少?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,我想了解一下，[時間]我在[商戶]的花費金額。,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,[時間]我在[商戶]的消費數字?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,說明[時間]我在[商戶]的開支了多少??,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,描述一下[時間]我在[商戶]消費的數目。,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,想知道[時間]在[商戶]支出了多少錢?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,[時間]我在[商戶]花費的金額為何?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,[時間]我在[商戶]的消費概況?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄, 我想了解[時間]我在[商戶]的消費狀況如何?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,[時間]我在[商戶]開銷的概況。,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,[時間]我在[商戶]的花錢狀況?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,在[時間]於[商戶]的刷卡金額,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,我在[時間]光顧[商戶]的時候，總共消費了多少錢財?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,[時間]期間，我在[商戶]那裡購物的總開支金額是多少?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,回想當時的情景，我在[時間]時前往[商戶]消費，一共支出了多少錢?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,有關我在[時間]前往[商戶]購物的情況，總計付出了多大筆資金?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,我於[時間]光顧[商戶]時，總共投入了多少金錢用於消費?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,那次在[時間]期間我在[商戶]購物，總計支付了多少費用?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,[時間]當下，我前往[商戶]購物的總消費數額是多少?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,在[時間]的那個時候，我光顧[商戶]一共花掉了多少錢財?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,[時間]我在[商戶]消費時，總共掏腰包付帳了多少錢?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
B,在[時間][商戶]刷卡紀錄,在[時間][商戶]刷卡紀錄,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And MERCHANT_NAME IN( &string1, &string2, ...)"
C,在[時間][類別]刷卡紀錄,請告訴我在[時間]期間，我在[類別]方面的總花費是多少?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And Consumption_Category_Desc = &string","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And Consumption_Category_Desc = &string","SELECT
    A.Consumption_Category_Desc AS `消費類別`,
    CAST(A.SUM_TXN_AMT AS FLOAT)  / CAST(B.TOT_TXN_AMT AS FLOAT) AS `消費佔比`
FROM(
    Select CustomerID, Consumption_Category_Desc, sum(TXN_AMT) AS SUM_TXN_AMT
    From dual
    Where TXN_DATE between &start_date and &end_date
    AND CustomerID = &CustomerID
    GROUP BY CustomerID, Consumption_Category_Desc
) A
LEFT JOIN(
    Select CustomerID, sum(TXN_AMT) as TOT_TXN_AMT
    From dual
    Where TXN_DATE between &start_date and &end_date
    AND CustomerID = &CustomerID
    GROUP BY CustomerID
) B
ON A.CustomerID = B.CustomerID"
C,在[時間][類別]刷卡紀錄,我想了解一下[時間]內，[類別]的詳細開銷情況。,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And Consumption_Category_Desc = &string","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And Consumption_Category_Desc = &string","SELECT
    A.Consumption_Category_Desc AS `消費類別`,
    CAST(A.SUM_TXN_AMT AS FLOAT)  / CAST(B.TOT_TXN_AMT AS FLOAT) AS `消費佔比`
FROM(
    Select CustomerID, Consumption_Category_Desc, sum(TXN_AMT) AS SUM_TXN_AMT
    From dual
    Where TXN_DATE between &start_date and &end_date
    AND CustomerID = &CustomerID
    GROUP BY CustomerID, Consumption_Category_Desc
) A
LEFT JOIN(
    Select CustomerID, sum(TXN_AMT) as TOT_TXN_AMT
    From dual
    Where TXN_DATE between &start_date and &end_date
    AND CustomerID = &CustomerID
    GROUP BY CustomerID
) B
ON A.CustomerID = B.CustomerID"
C,在[時間][類別]刷卡紀錄,在[時間]，我在[類別]上的支出有多少?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And Consumption_Category_Desc = &string","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And Consumption_Category_Desc = &string","SELECT
    A.Consumption_Category_Desc AS `消費類別`,
    CAST(A.SUM_TXN_AMT AS FLOAT)  / CAST(B.TOT_TXN_AMT AS FLOAT) AS `消費佔比`
FROM(
    Select CustomerID, Consumption_Category_Desc, sum(TXN_AMT) AS SUM_TXN_AMT
    From dual
    Where TXN_DATE between &start_date and &end_date
    AND CustomerID = &CustomerID
    GROUP BY CustomerID, Consumption_Category_Desc
) A
LEFT JOIN(
    Select CustomerID, sum(TXN_AMT) as TOT_TXN_AMT
    From dual
    Where TXN_DATE between &start_date and &end_date
    AND CustomerID = &CustomerID
    GROUP BY CustomerID
) B
ON A.CustomerID = B.CustomerID"
C,在[時間][類別]刷卡紀錄,[時間]期間，我在[類別]的消費金額是多少?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And Consumption_Category_Desc = &string","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date
And Consumption_Category_Desc = &string","SELECT
    A.Consumption_Category_Desc AS `消費類別`,
    CAST(A.SUM_TXN_AMT AS FLOAT)  / CAST(B.TOT_TXN_AMT AS FLOAT) AS `消費佔比`
FROM(
    Select CustomerID, Consumption_Category_Desc, sum(TXN_AMT) AS SUM_TXN_AMT
    From dual
    Where TXN_DATE between &start_date and &end_date
    AND CustomerID = &CustomerID
    GROUP BY CustomerID, Consumption_Category_Desc
) A
LEFT JOIN(
    Select CustomerID, sum(TXN_AMT) as TOT_TXN_AMT
    From dual
    Where TXN_DATE between &start_date and &end_date
    AND CustomerID = &CustomerID
    GROUP BY CustomerID
) B
ON A.CustomerID = B.CustomerID"
